"P0",,,,,"P1",,,,"P2",,,
"Index [1]","X [mm]","Y [mm]","U [mm]","V [mm]","X [mm]","Y [mm]","U [mm]","V [mm]","X [mm]","Y [mm]","U [mm]","V [mm]"
47,3.48639,13.1489,0.042483,0.381149,3.5463,11.6245,0.0404916,0.380108,5.10013,11.6548,0.0413184,0.377991
48,3.48639,13.1489,0.0478297,0.395319,3.5463,11.6245,0.0461086,0.394183,5.10013,11.6548,0.0466718,0.391939
49,3.48639,13.1489,0.0534978,0.411255,3.5463,11.6245,0.05138,0.410061,5.10013,11.6548,0.0520348,0.407447
50,3.48639,13.1489,0.0589972,0.428612,3.5463,11.6245,0.0567433,0.427579,5.10013,11.6548,0.057394,0.424764
51,3.48639,13.1489,0.0638558,0.443534,3.5463,11.6245,0.0612781,0.442603,5.10013,11.6548,0.0618787,0.439273
52,3.48639,13.1489,0.0696744,0.459538,3.5463,11.6245,0.0671681,0.458549,5.10013,11.6548,0.0676074,0.454979
53,3.48639,13.1489,0.073146,0.473481,3.5463,11.6245,0.0703754,0.472419,5.10013,11.6548,0.0711626,0.468706
54,3.48639,13.1489,0.0771938,0.491579,3.5463,11.6245,0.0744908,0.490594,5.10013,11.6548,0.0747373,0.486253
55,3.48639,13.1489,0.0799662,0.504849,3.5463,11.6245,0.0771402,0.50374,5.10013,11.6548,0.0775207,0.499096
56,3.48639,13.1489,0.0837244,0.518014,3.5463,11.6245,0.0807013,0.516922,5.10013,11.6548,0.08123,0.512512
57,3.48639,13.1489,0.0870628,0.533972,3.5463,11.6245,0.0837526,0.533297,5.10013,11.6548,0.0841743,0.528203
58,3.48639,13.1489,0.0898517,0.548268,3.5463,11.6245,0.0863902,0.54761,5.10013,11.6548,0.0868012,0.542246
59,3.48639,13.1489,0.0923224,0.558607,3.5463,11.6245,0.0885733,0.557487,5.10013,11.6548,0.0893194,0.55203
60,3.48639,13.1489,0.0925402,0.57324,3.5463,11.6245,0.0889268,0.57212,5.10013,11.6548,0.0894817,0.566482
61,3.48639,13.1489,0.0951903,0.592005,3.5463,11.6245,0.0911037,0.590928,5.10013,11.6548,0.0924383,0.586472
62,3.48639,13.1489,0.102796,0.608344,3.5463,11.6245,0.0929972,0.621242,5.10013,11.6548,0.0933165,0.614457
63,3.48639,13.1489,0.107666,0.615087,3.5463,11.6245,0.0959738,0.631927,5.10013,11.6548,0.0964302,0.620335
64,3.48639,13.1489,0.110048,0.623091,3.5463,11.6245,0.0971747,0.642804,5.10013,11.6548,0.0974049,0.629382
65,3.48639,13.1489,0.112004,0.630469,3.5463,11.6245,0.0975944,0.653102,5.10013,11.6548,0.0982092,0.638093
66,3.48639,13.1489,0.113459,0.639212,3.5463,11.6245,0.0979261,0.665118,5.10013,11.6548,0.0987947,0.647944
67,3.48639,13.1489,0.115969,0.644542,3.5463,11.6245,0.0993798,0.673886,5.10013,11.6548,0.0997469,0.654144
68,3.48639,13.1489,0.118829,0.652956,3.5463,11.6245,0.101329,0.685827,5.10013,11.6548,0.101809,0.663595
69,3.48639,13.1489,0.120181,0.662504,3.5463,11.6245,0.101835,0.699026,5.10013,11.6548,0.102341,0.674487
70,3.48639,13.1489,0.129338,0.671299,3.5463,11.6245,0.109719,0.711872,5.10013,11.6548,0.110258,0.685517
71,3.48639,13.1489,0.136944,0.682342,3.5463,11.6245,0.116937,0.727062,5.10013,11.6548,0.117253,0.699018
72,3.48639,13.1489,0.142025,0.694035,3.5463,11.6245,0.121351,0.7421,5.10013,11.6548,0.121234,0.712896
73,3.48639,13.1489,0.146045,0.706782,3.5463,11.6245,0.124677,0.756989,5.10013,11.6548,0.124951,0.726826
74,3.48639,13.1489,0.151093,0.71661,3.5463,11.6245,0.128574,0.769132,5.10013,11.6548,0.128905,0.737897
75,3.48639,13.1489,0.153749,0.726616,3.5463,11.6245,0.130346,0.780594,5.10013,11.6548,0.130918,0.748277
76,3.48639,13.1489,0.15639,0.736993,3.5463,11.6245,0.132067,0.793521,5.10013,11.6548,0.132045,0.759702
77,3.48639,13.1489,0.158056,0.743847,3.5463,11.6245,0.132683,0.802438,5.10013,11.6548,0.13284,0.766694
78,3.48639,13.1489,0.159484,0.75208,3.5463,11.6245,0.133066,0.81285,5.10013,11.6548,0.133363,0.775793
79,3.48639,13.1489,0.160768,0.760975,3.5463,11.6245,0.133384,0.82317,5.10013,11.6548,0.133471,0.784491
